sgName	gene	ABL1_C6	ABL1_G11	I63DBaF3ABL14	I63DBaF3ABLImat	I63EBaF3ABL14	I63EBaF3ABLImat	I63FBaF3ABL14	I63FBaF3ABLImat	I63GBaF3ABL14	I63GBaF3ABLImat	I715A82	I715B82	I715C82	I715D82	I75A714	I75AAscim4	I75AImat50	I75B714	I75BAscim4	I75BImat50	I75C714	I75CAscim4	I75CImat50	I75D714	I75DAscim4	I75DImat50
BCRABL_3149	BCRABL_3149	1620	2064	612	940	706	1084	937	931	755	885	718	569	835	813	814	1302	529	775	342	889	629	744	947	684	1056	777
BCRABL_332	BCRABL_332	2466	3313	992	1574	1189	1577	1668	1862	1399	1543	1556	1290	1455	1490	1449	1939	1199	1342	1846	1198	1316	926	997	1235	1016	1133
BCRABL_467	BCRABL_467	650	825	348	443	444	458	393	423	337	297	393	353	512	348	416	410	427	335	557	429	355	292	479	328	182	392
BCRABL_691	BCRABL_691	2029	2562	1062	1601	1064	1417	1688	1476	1286	1373	1259	861	1318	1196	1223	760	1266	1087	1503	707	1126	789	616	1118	962	1112
BCRABL_335	BCRABL_335	3011	3960	1356	2066	1882	1976	2211	2325	1999	1839	2173	1563	1757	1984	2073	1673	2216	1698	1854	1774	1837	2019	2002	1489	1587	1707
BCRABL_573	BCRABL_573	3718	4823	2035	2973	1820	2343	2753	2872	2322	2633	2448	1784	2377	1879	2135	2762	2294	2107	1839	2209	1968	1956	2220	1702	1658	2117
BCRABL_338	BCRABL_338	520	646	232	361	335	310	387	359	355	329	346	306	335	489	341	223	410	230	195	220	273	154	329	230	177	490
BCRABL_337	BCRABL_337	1672	2220	790	1190	975	1136	969	1162	1061	981	733	570	1138	771	751	716	740	693	682	834	766	1032	967	674	661	821
BCRABL_1146	BCRABL_1146	8967	11301	3514	4628	3936	4504	4671	4832	4089	4991	4941	4380	5448	4815	4872	4897	4836	4652	5086	5696	4866	5937	4682	4339	5044	5419
BCRABL_357	BCRABL_357	6305	8447	2969	4716	3491	4305	3954	3898	3314	3709	3805	3087	3937	3578	3377	3518	3332	3142	3294	3303	3167	3255	3201	3021	3336	3375
BCRABL_500	BCRABL_500	1892	2699	1026	1336	1502	1242	1593	1662	1423	1574	1270	944	1142	866	1330	911	1156	1205	977	1138	1118	441	721	1145	619	1207
BCRABL_1147	BCRABL_1147	1361	1884	566	840	580	848	1008	758	531	677	956	552	553	591	883	768	725	672	547	706	600	391	685	618	442	477
BCRABL_690	BCRABL_690	3316	4472	1964	2184	1519	1836	2077	1835	1614	1871	1993	2139	1810	1821	1699	2871	1675	1759	1413	2191	1641	1680	1885	1669	2081	1528
BCRABL_1864	BCRABL_1864	521	779	51	98	44	75	263	304	315	425	237	225	135	40	306	166	478	259	189	194	191	55	17	170	67	35
BCRABL_469	BCRABL_469	1853	2355	768	1361	911	1000	1227	1129	996	999	752	927	1121	942	946	795	899	933	919	963	998	757	1142	940	866	1163
BCRABL_576	BCRABL_576	1274	1882	637	931	760	947	916	947	835	1021	754	637	1030	835	759	1023	906	703	756	809	744	562	837	745	719	799
BCRABL_575	BCRABL_575	3463	4359	1662	2552	1976	2539	2335	2359	2232	2389	1916	1749	2148	1774	1665	2414	1986	1777	1545	2207	1889	1860	2173	1633	2247	1791
BCRABL_745	BCRABL_745	724	988	406	652	323	576	683	570	432	447	441	296	668	558	439	381	472	412	330	313	565	316	439	433	365	515
