Frequency	#Barcodes
1	25148839 
2	8754533 
3	4999527 
4	2868782 
5	1641223 
6	959554 
7	585737 
8	376085 
9	255148 
10	184005 
11	138729 
12	108067 
13	86851 
14	71893 
15	59732 
16	50242 
17	42368 
18	35895 
19	30205 
20	25655 
21	21687 
22	18931 
23	15870 
24	13679 
25	11910 
26	10270 
27	8619 
28	7659 
29	6600 
30	5897 
31	5136 
32	4484 
33	4048 
34	3625 
35	3126 
36	2891 
37	2613 
38	2242 
39	2087 
40	1923 
41	1758 
42	1565 
43	1499 
44	1546 
45	1341 
46	1204 
47	1131 
48	1019 
49	971 
50	925 
51	946 
52	847 
53	802 
54	786 
55	711 
56	705 
57	622 
58	673 
59	604 
60	585 
61	570 
62	500 
63	449 
64	432 
65	467 
66	439 
67	405 
68	404 
69	372 
70	371 
71	357 
72	351 
73	324 
74	310 
75	298 
76	268 
77	261 
78	249 
79	293 
80	219 
81	207 
82	192 
83	252 
84	210 
85	197 
86	202 
87	199 
88	194 
89	171 
90	164 
91	190 
92	167 
93	152 
94	158 
95	160 
96	161 
97	127 
98	153 
99	177 
100	148 
101	148 
102	140 
103	141 
104	150 
105	155 
106	124 
107	156 
108	154 
109	126 
110	130 
111	127 
112	131 
113	141 
114	123 
115	101 
116	113 
117	109 
118	111 
119	100 
120	109 
121	119 
122	114 
123	121 
124	98 
125	113 
126	128 
127	112 
128	136 
129	99 
130	100 
131	97 
132	84 
133	110 
134	87 
135	122 
136	104 
137	86 
138	103 
139	83 
140	76 
141	74 
142	68 
143	103 
144	81 
145	72 
146	99 
147	78 
148	74 
149	86 
150	73 
151	83 
152	72 
153	88 
154	91 
155	62 
156	82 
157	59 
158	77 
159	67 
160	74 
161	76 
162	61 
163	68 
164	73 
165	61 
166	65 
167	72 
168	79 
169	66 
170	72 
171	77 
172	69 
173	81 
174	66 
175	67 
176	63 
177	54 
178	63 
179	71 
180	56 
181	75 
182	59 
183	58 
184	53 
185	59 
186	71 
187	67 
188	62 
189	55 
190	59 
191	72 
192	60 
193	56 
194	63 
195	54 
196	61 
197	70 
198	65 
199	62 
200	62 
201	56 
202	52 
203	55 
204	66 
205	59 
206	61 
207	50 
208	53 
209	51 
210	50 
211	55 
212	47 
213	60 
214	47 
215	63 
216	56 
217	54 
218	55 
219	50 
220	41 
221	54 
222	61 
223	56 
224	42 
225	47 
226	55 
227	38 
228	44 
229	45 
230	52 
231	48 
232	43 
233	48 
234	50 
235	51 
236	42 
237	50 
238	43 
239	50 
240	42 
241	58 
242	53 
243	39 
244	45 
245	53 
246	43 
247	36 
248	36 
249	41 
250	41 
251	45 
252	40 
253	43 
254	27 
255	47 
256	35 
257	36 
258	42 
259	37 
260	40 
261	43 
262	22 
263	37 
264	37 
265	30 
266	29 
267	42 
268	33 
269	33 
270	20 
271	36 
272	42 
273	22 
274	28 
275	34 
276	36 
277	29 
278	22 
279	29 
280	35 
281	36 
282	30 
283	22 
284	21 
285	26 
286	30 
287	23 
288	30 
289	37 
290	22 
291	25 
292	19 
293	19 
294	29 
295	34 
296	22 
297	35 
298	27 
299	14 
300	22 
301	20 
302	27 
303	19 
304	26 
305	25 
306	19 
307	28 
308	19 
309	25 
310	24 
311	20 
312	26 
313	26 
314	20 
315	19 
316	19 
317	14 
318	22 
319	23 
320	27 
321	10 
322	20 
323	24 
324	18 
325	23 
326	24 
327	20 
328	16 
329	34 
330	14 
331	22 
332	15 
333	15 
334	22 
335	20 
336	24 
337	30 
338	15 
339	20 
340	27 
341	18 
342	23 
343	26 
344	20 
345	20 
346	25 
347	19 
348	24 
349	14 
350	15 
351	17 
352	19 
353	26 
354	25 
355	28 
356	25 
357	22 
358	21 
359	17 
360	20 
361	22 
362	23 
363	21 
364	30 
365	25 
366	16 
367	11 
368	22 
369	22 
370	17 
371	17 
372	22 
373	20 
374	31 
375	21 
376	24 
377	27 
378	27 
379	19 
380	21 
381	28 
382	24 
383	12 
384	20 
385	19 
386	24 
387	15 
388	21 
389	19 
390	23 
391	19 
392	15 
393	24 
394	16 
395	15 
396	18 
397	21 
398	13 
399	20 
400	16 
401	19 
402	14 
403	20 
404	14 
405	12 
406	16 
407	23 
408	22 
409	17 
410	23 
411	15 
412	29 
413	16 
414	19 
415	21 
416	21 
417	23 
418	26 
419	17 
420	16 
421	16 
422	25 
423	13 
424	19 
425	19 
426	19 
427	16 
428	16 
429	23 
430	24 
431	19 
432	24 
433	17 
434	21 
435	16 
436	20 
437	25 
438	20 
439	19 
440	30 
441	24 
442	22 
443	17 
444	17 
445	13 
446	22 
447	19 
448	21 
449	14 
450	18 
451	11 
452	19 
453	20 
454	14 
455	24 
456	16 
457	11 
458	18 
459	14 
460	16 
461	18 
462	27 
463	24 
464	20 
465	18 
466	20 
467	18 
468	22 
469	13 
470	25 
471	21 
472	23 
473	18 
474	11 
475	14 
476	20 
477	23 
478	14 
479	16 
480	17 
481	18 
482	24 
483	15 
484	19 
485	22 
486	16 
487	18 
488	20 
489	28 
490	17 
491	15 
492	21 
493	18 
494	22 
495	20 
496	22 
497	9 
498	21 
499	13 
500	10 
501	14 
502	19 
503	11 
504	21 
505	10 
506	12 
507	19 
508	15 
509	16 
510	13 
511	23 
512	15 
513	12 
514	12 
515	13 
516	19 
517	14 
518	18 
519	16 
520	11 
521	16 
522	10 
523	14 
524	19 
525	13 
526	16 
527	10 
528	19 
529	14 
530	13 
531	23 
532	13 
533	11 
534	10 
535	20 
536	18 
537	17 
538	16 
539	16 
540	15 
541	12 
542	14 
543	14 
544	17 
545	8 
546	17 
547	17 
548	18 
549	10 
550	20 
551	14 
552	11 
553	11 
554	14 
555	8 
556	14 
557	14 
558	19 
559	9 
