Frequency	#Barcodes
1	12213087 
2	1503161 
3	618247 
4	406383 
5	326956 
6	289501 
7	269944 
8	256024 
9	244608 
10	233276 
11	221012 
12	209199 
13	194753 
14	180935 
15	166889 
16	152987 
17	140195 
18	127309 
19	114731 
20	104053 
21	93902 
22	84030 
23	76401 
24	68691 
25	62209 
26	56324 
27	51112 
28	46669 
29	42319 
30	38945 
31	35754 
32	32884 
33	30656 
34	28592 
35	26412 
36	24559 
37	23086 
38	21737 
39	20417 
40	19244 
41	17960 
42	17083 
43	16299 
44	15321 
45	14464 
46	13481 
47	12899 
48	12034 
49	11516 
50	10838 
51	10268 
52	9429 
53	9080 
54	8550 
55	8150 
56	7591 
57	7217 
58	6652 
59	6185 
60	5911 
61	5613 
62	5262 
63	4883 
64	4718 
65	4418 
66	4143 
67	4026 
68	3686 
69	3478 
70	3292 
71	3080 
72	2948 
73	2819 
74	2676 
75	2534 
76	2376 
77	2383 
78	2301 
79	2117 
80	2035 
81	1980 
82	1946 
83	1843 
84	1756 
85	1688 
86	1581 
87	1568 
88	1562 
89	1419 
90	1405 
91	1327 
92	1310 
93	1263 
94	1233 
95	1176 
96	1115 
97	1135 
98	1048 
99	1099 
100	1029 
101	1002 
102	902 
103	950 
104	904 
105	927 
106	820 
107	821 
108	831 
109	769 
110	734 
111	818 
112	795 
113	659 
114	709 
115	681 
116	648 
117	600 
118	581 
119	601 
120	571 
121	571 
122	540 
123	565 
124	539 
125	537 
126	521 
127	528 
128	472 
129	471 
130	495 
131	476 
132	456 
133	459 
134	362 
135	432 
136	415 
137	411 
138	406 
139	392 
140	403 
141	423 
142	390 
143	349 
144	339 
145	338 
146	402 
147	350 
148	332 
149	361 
150	318 
151	315 
152	339 
153	340 
154	304 
155	293 
156	293 
157	281 
158	328 
159	260 
160	282 
161	235 
162	282 
163	270 
164	259 
165	269 
166	250 
167	254 
168	252 
169	244 
170	211 
171	233 
172	222 
173	220 
174	243 
175	219 
176	203 
177	217 
178	213 
179	234 
180	215 
181	204 
182	176 
183	192 
184	207 
185	161 
186	178 
187	182 
188	185 
189	197 
190	166 
191	202 
192	164 
193	161 
194	170 
195	170 
196	147 
197	166 
198	128 
199	146 
200	143 
201	155 
202	153 
203	179 
204	135 
205	133 
206	156 
207	148 
208	128 
209	133 
210	131 
211	128 
212	110 
213	122 
214	131 
215	121 
216	129 
217	137 
218	116 
219	113 
220	108 
221	114 
222	118 
223	130 
224	138 
225	128 
226	108 
227	114 
228	104 
229	109 
230	109 
231	115 
232	89 
233	114 
234	90 
235	97 
236	103 
237	96 
238	89 
239	74 
240	101 
241	93 
242	90 
243	101 
244	82 
245	75 
246	76 
247	90 
248	105 
249	74 
250	96 
251	97 
252	93 
253	83 
254	98 
255	84 
256	77 
257	80 
258	85 
259	75 
260	87 
261	81 
262	82 
263	78 
264	70 
265	71 
266	63 
267	73 
268	71 
269	72 
270	71 
271	75 
272	58 
273	63 
274	56 
275	59 
276	69 
277	65 
278	51 
279	71 
280	84 
281	67 
282	69 
283	56 
284	54 
285	71 
286	56 
287	52 
288	54 
289	51 
290	54 
291	59 
292	48 
293	60 
294	58 
295	52 
296	68 
297	46 
298	68 
299	46 
300	56 
301	52 
302	51 
303	58 
304	38 
305	54 
306	42 
307	54 
308	57 
309	37 
310	59 
311	49 
312	62 
313	40 
314	54 
315	49 
316	49 
317	51 
318	46 
319	47 
320	41 
321	40 
322	41 
323	42 
324	51 
325	54 
326	39 
327	50 
328	35 
329	49 
330	44 
331	53 
332	45 
333	39 
334	47 
335	52 
336	36 
337	40 
338	47 
339	54 
340	43 
341	41 
342	35 
343	47 
344	36 
345	30 
346	26 
347	35 
348	42 
349	33 
350	46 
351	50 
352	38 
353	38 
354	30 
355	40 
356	34 
357	44 
358	30 
359	31 
360	37 
361	26 
362	37 
363	35 
364	30 
365	26 
366	38 
367	26 
368	34 
369	21 
370	35 
371	32 
372	29 
373	32 
374	37 
375	32 
376	35 
377	24 
