"pos","depth"
1,1337476
2,1337476
3,1337476
4,1337476
5,1337476
6,1337476
7,1337476
8,1337476
9,1337476
10,1337476
11,1337476
12,1337476
13,1337476
14,1337476
15,1337476
16,1337476
17,1337476
18,1337476
19,1337476
20,1337476
21,1337476
22,1337476
23,1337476
24,1337476
25,1337476
26,1337476
27,1337476
28,1337476
29,1337476
30,1337476
31,1337476
32,1337476
33,1337476
34,1337476
35,1337476
36,1337476
37,1337476
38,1337476
39,1337476
40,1337476
41,1337476
42,1337476
43,1337476
44,1337476
45,1337476
46,1337476
47,1337476
48,1337476
49,1337476
50,1337476
51,1337476
52,1337476
53,1337476
54,1337476
55,1337476
56,1337476
57,1337476
58,1337476
59,1337476
60,1337476
61,1337476
62,1337476
63,1337476
64,1337476
65,1337476
66,1337476
67,1337476
68,1337476
69,1337476
70,1337476
71,1336821
72,1336187
73,1335476
74,1334804
75,1333949
76,1333184
77,1332263
78,1331367
79,1330447
80,1329494
81,1328635
82,1327743
83,1326689
84,1325786
85,1324778
86,1323774
87,1322619
88,1321443
89,1320076
90,1318782
91,1317353
92,1315594
93,1314071
94,1312764
95,1311448
96,1310192
97,1308707
98,1307382
99,1306111
100,1304798
101,1303247
102,1301765
103,1300257
104,1298734
105,1297156
106,1295322
107,1292611
108,1290724
109,1288880
110,1287029
111,1285096
112,1283364
113,1281440
114,1279793
115,1277955
116,1276210
117,1274468
118,1272496
119,1270486
120,1268424
121,1266149
122,1263953
123,1261822
124,1259616
125,1257572
126,1255504
127,1253890
128,1252661
129,1251675
130,1251285
131,1251147
132,1250957
133,1250881
134,4675
135,2492
136,114
137,7
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,15
260,15
261,15
262,15
263,18
264,18
265,18
266,18
267,18
268,18
269,18
270,18
271,18
272,18
273,18
274,18
275,18
276,18
277,18
278,18
279,18
280,18
281,18
282,18
283,18
284,18
285,18
286,18
287,18
288,18
289,18
290,18
291,18
292,18
293,18
294,18
295,18
296,18
297,18
298,18
299,18
300,18
301,19
302,19
303,18
304,25
305,25
306,25
307,25
308,25
309,25
310,25
311,25
312,25
313,25
314,25
315,25
316,25
317,25
318,25
319,42
320,42
321,42
322,42
323,42
324,42
325,42
326,42
327,42
328,42
329,42
330,42
331,42
332,42
333,44
334,44
335,44
336,44
337,44
338,44
339,44
340,44
341,44
342,44
343,44
344,44
345,47
346,47
347,47
348,47
349,47
350,47
351,47
352,67
353,67
354,67
355,88
356,88
357,88
358,88
359,88
360,89
361,89
362,89
363,89
364,89
365,89
366,89
367,89
368,100
369,98
370,98
371,98
372,100
373,100
374,102
375,102
376,102
377,102
378,102
379,102
380,102
381,102
382,102
383,102
384,102
385,102
386,102
387,102
388,102
389,102
390,102
391,102
392,102
393,90
394,90
395,90
396,90
397,87
398,87
399,87
400,87
401,87
402,87
403,87
404,87
405,87
406,87
407,87
408,87
409,87
410,87
411,87
412,87
413,88
414,88
415,88
416,88
417,88
418,88
419,88
420,88
421,88
422,88
423,88
424,88
425,88
426,88
427,119
428,119
429,119
430,143
431,144
432,145
433,145
434,144
435,143
436,143
437,167
438,162
439,163
440,163
441,163
442,201
443,226
444,226
445,226
446,226
447,226
448,226
449,226
450,226
451,226
452,226
453,210
454,210
455,210
456,213
457,213
458,214
459,214
460,215
461,215
462,215
463,215
464,215
465,215
466,215
467,213
468,213
469,233
470,233
471,233
472,233
473,233
474,233
475,233
476,233
477,233
478,213
479,211
480,211
481,211
482,211
483,213
484,213
485,213
486,230
487,230
488,230
489,209
490,209
491,209
492,209
493,209
494,210
495,211
496,334
497,334
498,334
499,334
500,335
501,335
502,324
503,324
504,324
505,325
506,328
507,328
508,327
509,327
510,327
511,327
512,327
513,327
514,330
515,330
516,330
517,330
518,330
519,330
520,330
521,330
522,330
523,330
524,330
525,330
526,341
527,341
528,341
529,341
530,341
531,374
532,374
533,374
534,374
535,374
536,379
537,379
538,380
539,384
540,384
541,384
542,384
543,384
544,384
545,384
546,384
547,383
548,383
549,383
550,383
551,383
552,383
553,383
554,383
555,383
556,383
557,383
558,383
559,392
560,393
561,362
562,362
563,362
564,338
565,337
566,336
567,336
568,335
569,335
570,335
571,310
572,320
573,320
574,322
575,321
576,283
577,258
578,258
579,258
580,259
581,259
582,258
583,258
584,257
585,268
586,268
587,268
588,268
589,268
590,265
591,265
592,264
593,264
594,268
595,268
596,268
597,267
598,267
599,310
600,309
601,309
602,344
603,324
604,324
605,324
606,324
607,324
608,324
609,324
610,324
611,324
612,324
